epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1293.12,0.52157,0.64799,0.31896,0.33031,0.80737,1,0.99748,0.995,0.87038,0.94988,0.94769,0.9364,0.89152,0.50438,0.56164,0.22334,0.29472,0.77997,0.00098255,0.00098255,0.00098255
104,1306.09,0.53297,0.65499,0.31452,0.33274,0.80883,0.99983,1,0.995,0.86564,0.94953,0.95,0.92518,0.82867,0.52438,0.85262,0.2241,0.28543,0.77632,0.000972575,0.000972575,0.000972575
105,1318.76,0.53702,0.57602,0.30549,0.32812,0.80355,1,0.99607,0.995,0.8458,1,0.99607,0.995,0.88474,0.54084,0.52289,0.21987,0.30086,0.78274,0.0009626,0.0009626,0.0009626
106,1331.33,0.52702,0.66255,0.30661,0.33157,0.80662,0.99888,1,0.995,0.85343,0.7979,0.8,0.735,0.519,0.53011,2.06134,0.22893,0.29292,0.78203,0.000952625,0.000952625,0.000952625
107,1344,0.52561,0.68531,0.32082,0.32746,0.81202,1,0.99897,0.995,0.85989,0.94997,0.94951,0.93963,0.86255,0.57018,0.71222,0.21504,0.31864,0.78282,0.00094265,0.00094265,0.00094265
108,1356.13,0.51776,0.67245,0.31259,0.32518,0.81045,1,0.99926,0.995,0.88302,1,0.99926,0.995,0.92503,0.58597,0.34419,0.2152,0.30353,0.78611,0.000932675,0.000932675,0.000932675
109,1368.1,0.50921,0.70219,0.31716,0.31589,0.80743,0.99748,1,0.995,0.86477,0.99748,1,0.995,0.91462,0.55419,0.43311,0.22354,0.27968,0.78289,0.0009227,0.0009227,0.0009227
110,1380.64,0.52596,0.64137,0.30412,0.32031,0.80051,0.99826,1,0.995,0.8784,0.99826,1,0.995,0.92369,0.53802,0.30939,0.21792,0.28628,0.77603,0.000912725,0.000912725,0.000912725
111,1393.21,0.53213,0.62877,0.311,0.32612,0.8053,1,0.99941,0.995,0.88372,0.79943,0.8,0.68407,0.54298,0.50653,2.4303,0.2417,0.27701,0.78287,0.00090275,0.00090275,0.00090275
112,1405.7,0.52692,0.67395,0.29053,0.32786,0.81249,1,0.98412,0.995,0.85951,0.7972,0.78671,0.68254,0.58902,0.55018,2.31391,0.23856,0.31044,0.78303,0.000892775,0.000892775,0.000892775
113,1418.04,0.51928,0.67081,0.30702,0.32751,0.80522,1,0.99729,0.995,0.87327,0.79977,0.7989,0.69407,0.6139,0.56024,1.951,0.24064,0.32864,0.78172,0.0008828,0.0008828,0.0008828
114,1430.63,0.52576,0.58596,0.31555,0.33139,0.80955,0.95214,0.99491,0.99262,0.84921,0.71326,0.7464,0.59387,0.54619,0.58863,2.35933,0.23961,0.33455,0.78594,0.000872825,0.000872825,0.000872825
115,1443.45,0.51921,0.63276,0.29476,0.32814,0.80948,0.99639,0.95,0.99045,0.82205,0.78662,0.75,0.68359,0.61729,0.62752,2.21666,0.23444,0.33245,0.7837,0.00086285,0.00086285,0.00086285
116,1456.35,0.52721,0.61428,0.3,0.32547,0.80487,0.99984,1,0.995,0.82968,0.7987,0.8,0.66409,0.56637,0.62079,1.97099,0.23672,0.30954,0.78608,0.000852875,0.000852875,0.000852875
117,1467.36,0.50668,0.59681,0.29833,0.31959,0.80527,1,0.99969,0.995,0.8543,0.95,0.94998,0.93483,0.88616,0.58601,0.58647,0.2085,0.27491,0.78639,0.0008429,0.0008429,0.0008429
